PARMID,OPNTYPE,TABLE,ParameterName,ACTIVITYFLAG,ConstituentName,IsMonthlyPossible,Min,Max,Typical,FlagTable,FlagParm,MonthlyParmTable,Notes
1,PERLND,ACTIVITY,AIRTFG,,,,0,1,1,,,,
2,PERLND,ACTIVITY,SNOWFG,,,,0,1,1,,,,
3,PERLND,ACTIVITY,PWATFG,,,,1,1,1,,,,
4,PERLND,ACTIVITY,SEDFG,,,,0,1,1,,,,
5,PERLND,ACTIVITY,PSTFG,,,,0,1,1,,,,
6,PERLND,ACTIVITY,PWGFG,,,,1,1,1,,,,
7,PERLND,ACTIVITY,PQALFG,,,,0,1,1,,,,
8,PERLND,ACTIVITY,MSTLFG,,,,0,1,0,,,,
9,PERLND,ACTIVITY,PESTFG,,,,0,1,0,,,,
10,PERLND,ACTIVITY,NITRFG,,,,0,1,0,,,,
11,PERLND,ACTIVITY,PHOSFG,,,,0,1,0,,,,
12,PERLND,ACTIVITY,TRACFG,,,,0,1,0,,,,
13,PERLND,ATEMP-DAT,ELDAT,AIRTFG,,,-1000,1000,0,,,,
14,PERLND,ATEMP-DAT,AIRTMP,AIRTFG,,,10,70,30,,,,
15,PERLND,ICE-FLAG,ICEFG,SNOWFG,,,0,1,1,,,,
16,PERLND,SNOW-FLAGS,SNOPFG,SNOWFG,,,0,1,0,,,,
17,PERLND,SNOW-FLAGS,VKMFG,SNOWFG,,,0,1,0,,,,
18,PERLND,SNOW-PARM1,LAT,SNOWFG,,,30,50,45,,,,
19,PERLND,SNOW-PARM1,MELEV,SNOWFG,,,50,3000,1500,,,,
20,PERLND,SNOW-PARM1,SHADE,SNOWFG,,,0.1,0.5,0.15,,,,
21,PERLND,SNOW-PARM1,SNOWCF,SNOWFG,,,1.1,1.5,1.2,,,,
22,PERLND,SNOW-PARM1,COVIND,SNOWFG,,,0.1,5,1.5,,,,
23,PERLND,SNOW-PARM1,KMELT,SNOWFG,,1,0.01,0.5,0.1,SNOW-FLAGS,VKMFG,MON-MELT-FAC,
24,PERLND,SNOW-PARM1,TBASE,SNOWFG,,,30,36,32,,,,
25,PERLND,SNOW-PARM2,RDCSN,SNOWFG,,,0.05,0.3,0.15,,,,
26,PERLND,SNOW-PARM2,TSNOW,SNOWFG,,,30,40,32,,,,
27,PERLND,SNOW-PARM2,SNOEVP,SNOWFG,,,0,0.5,0.15,,,,
28,PERLND,SNOW-PARM2,CCFACT,SNOWFG,,,0.05,2,0.15,,,,
29,PERLND,SNOW-PARM2,MWATER,SNOWFG,,,0.005,0.5,0.03,,,,
30,PERLND,SNOW-PARM2,MGMELT,SNOWFG,,,0,0.03,0.01,,,,
31,PERLND,SNOW-INIT1,Pack-snow,SNOWFG,,,0,5,0.5,,,,
32,PERLND,SNOW-INIT1,Pack-ice,SNOWFG,,,0,2,0,,,,
33,PERLND,SNOW-INIT1,Pack-watr,SNOWFG,,,0,2,0,,,,
34,PERLND,SNOW-INIT1,RDENPF,SNOWFG,,,0.1,0.6,0.2,,,,
35,PERLND,SNOW-INIT1,DULL,SNOWFG,,,100,600,375,,,,
36,PERLND,SNOW-INIT1,PAKTMP,SNOWFG,,,0,30,10,,,,
37,PERLND,SNOW-INIT2,COVINX,SNOWFG,,,0.01,8,0.01,,,,
38,PERLND,SNOW-INIT2,XLNMLT,SNOWFG,,,0,2,0,,,,
39,PERLND,SNOW-INIT2,SKYCLR,SNOWFG,,,0.15,1,1,,,,
40,PERLND,PWAT-PARM1,CSNOFG,PWATFG,,,0,1,1,,,,
41,PERLND,PWAT-PARM1,RTOPFG,PWATFG,,,0,3,1,,,,
42,PERLND,PWAT-PARM1,UZFG,PWATFG,,,0,1,1,,,,
43,PERLND,PWAT-PARM1,VCSFG,PWATFG,,,0,1,1,,,,
44,PERLND,PWAT-PARM1,VUZFG,PWATFG,,,0,1,0,,,,
45,PERLND,PWAT-PARM1,VNNFG,PWATFG,,,0,1,0,,,,
46,PERLND,PWAT-PARM1,VIFWFG,PWATFG,,,0,1,0,,,,
47,PERLND,PWAT-PARM1,VIRCFG,PWATFG,,,0,1,0,,,,
48,PERLND,PWAT-PARM1,VLEFG,PWATFG,,,0,1,0,,,,
49,PERLND,PWAT-PARM1,IFFCFG,PWATFG,,,0,2,1,,,,
50,PERLND,PWAT-PARM1,HWTFG,PWATFG,,,0,1,0,,,,
51,PERLND,PWAT-PARM1,IRRGFG,PWATFG,,,0,3,0,,,,
52,PERLND,PWAT-PARM1,IFRDFG,PWATFG,,,0,7,0,,,,
53,PERLND,PWAT-PARM1,NCANPY,PWATFG,,,0,0,0,,,,
54,PERLND,PWAT-PARM2,FOREST,PWATFG,,,0,0.5,0.1,,,,
55,PERLND,PWAT-PARM2,LZSN,PWATFG,,,2.5,10,3,,,,
56,PERLND,PWAT-PARM2,INFILT,PWATFG,,,0.01,0.5,0.1,,,,
57,PERLND,PWAT-PARM2,LSUR,PWATFG,,,100,700,400,,,,
58,PERLND,PWAT-PARM2,SLSUR,PWATFG,,,1.00E-04,0.3,0.01,,,,
59,PERLND,PWAT-PARM2,KVARY,PWATFG,,,0,5,0.5,,,,
60,PERLND,PWAT-PARM2,AGWRC,PWATFG,,,0.92,0.999,0.98,,,,
61,PERLND,PWAT-PARM3,PETMAX,PWATFG,,,32,45,40,,,,
62,PERLND,PWAT-PARM3,PETMIN,PWATFG,,,30,40,35,,,,
63,PERLND,PWAT-PARM3,INFEXP,PWATFG,,,2,2,2,,,,
64,PERLND,PWAT-PARM3,INFILD,PWATFG,,,2,2,2,,,,
65,PERLND,PWAT-PARM3,DEEPFR,PWATFG,,,0,0.2,0,,,,
66,PERLND,PWAT-PARM3,BASETP,PWATFG,,,0,0.2,0.05,,,,
67,PERLND,PWAT-PARM3,AGWETP,PWATFG,,,0,0.5,0.1,,,,
68,PERLND,PWAT-PARM4,CEPSC,PWATFG,,1,0.03,0.4,0.1,PWAT-PARM1,VCSFG,MON-INTERCEP,
69,PERLND,PWAT-PARM4,UZSN,PWATFG,,1,0.05,2,0.2,PWAT-PARM1,VUZFG,MON-UZSN,
70,PERLND,PWAT-PARM4,NSUR,PWATFG,,1,0.15,0.5,0.2,PWAT-PARM1,VNNFG,MON-MANNING,
71,PERLND,PWAT-PARM4,INTFW,PWATFG,,1,1,10,3,PWAT-PARM1,VIFWFG,MON-INTERFLW,
72,PERLND,PWAT-PARM4,IRC,PWATFG,,1,0.5,0.85,0.75,PWAT-PARM1,VIRCFG,MON-IRC,
73,PERLND,PWAT-PARM4,LZETP,PWATFG,,1,0.2,0.9,0.3,PWAT-PARM1,VLEFG,MON-LZETPARM,
74,PERLND,PWAT-PARM5,FZG,PWATFG,,,0.8,1.5,1,,,,
75,PERLND,PWAT-PARM5,FZGL,PWATFG,,,0.01,0.3,0.1,,,,
76,PERLND,PWAT-STATE1,CEPS,PWATFG,,,0,0.1,0,,,,
77,PERLND,PWAT-STATE1,SURS,PWATFG,,,0,0.05,0,,,,
78,PERLND,PWAT-STATE1,UZS,PWATFG,,,0.001,3,0.1,,,,
79,PERLND,PWAT-STATE1,IFWS,PWATFG,,,0,0.2,0,,,,
80,PERLND,PWAT-STATE1,LZS,PWATFG,,,0.001,10,3,,,,
81,PERLND,PWAT-STATE1,AGWS,PWATFG,,,0,6,0.1,,,,
82,PERLND,PWAT-STATE1,GWVS,PWATFG,,,0,0.5,0,,,,
83,PERLND,SED-PARM1,CRVFG,SEDFG,,,0,1,1,,,,
84,PERLND,SED-PARM1,VSIVFG,SEDFG,,,0,2,0,,,,
85,PERLND,SED-PARM1,SDOPFG,SEDFG,,,0,1,1,,,,
86,PERLND,SED-PARM2,SMPF,SEDFG,,,0.5,1,1,,,,
87,PERLND,SED-PARM2,KRER,SEDFG,,,0.05,0.75,0.2,,,,
88,PERLND,SED-PARM2,JRER,SEDFG,,,1,3,2,,,,
89,PERLND,SED-PARM2,AFFIX,SEDFG,,,0.01,0.15,0.05,,,,
90,PERLND,SED-PARM2,COVER,SEDFG,,1,0,0.9,0.5,SED-PARM1,CRVFG,MON-COVER,
91,PERLND,SED-PARM2,NVSI,SEDFG,,1,0,10,0,SED-PARM1,VSIVFG,MON-NVSI,
92,PERLND,SED-PARM3,KSER,SEDFG,,,0.1,10,1,,,,
93,PERLND,SED-PARM3,JSER,SEDFG,,,1,3,2,,,,
94,PERLND,SED-PARM3,KGER,SEDFG,,,0,10,0,,,,
95,PERLND,SED-PARM3,JGER,SEDFG,,,1,3,2,,,,
96,PERLND,SED-STOR,DETS,SEDFG,,,0.01,2.5,0.1,,,,
97,PERLND,PSTEMP-PARM1,SLTVFG,PSTFG,,,0,1,1,,,,
98,PERLND,PSTEMP-PARM1,ULTVFG,PSTFG,,,0,1,1,,,,
99,PERLND,PSTEMP-PARM1,LGTVFG,PSTFG,,,0,1,1,,,,
100,PERLND,PSTEMP-PARM1,TSOPFG,PSTFG,,,0,2,1,,,,
101,PERLND,PSTEMP-PARM2,ASLT,PSTFG,,1,22,70,42,PSTEMP-PARM1,SLTVFG,MON-ASLT,
102,PERLND,PSTEMP-PARM2,BSLT,PSTFG,,1,0.3,0.8,0.5,PSTEMP-PARM1,SLTVFG,MON-BSLT,
103,PERLND,PSTEMP-PARM2,ULTP1,PSTFG,,1,34,54,45,PSTEMP-PARM1,ULTVFG,MON-ULTP1,
104,PERLND,PSTEMP-PARM2,ULTP2,PSTFG,,1,0.2,0.7,0.4,PSTEMP-PARM1,ULTVFG,MON-ULTP2,
105,PERLND,PSTEMP-PARM2,LGTP1,PSTFG,,1,34,68,50,PSTEMP-PARM1,LGTVFG,MON-LGTP1,
106,PERLND,PSTEMP-PARM2,LGTP2,PSTFG,,1,0,0.3,0.1,PSTEMP-PARM1,LGTVFG,MON-LGTP2,
107,PERLND,PSTEMP-TEMPS,AIRTC,PSTFG,,,30,72,50,,,,
108,PERLND,PSTEMP-TEMPS,SLTMP,PSTFG,,,30,70,40,,,,
109,PERLND,PSTEMP-TEMPS,ULTMP,PSTFG,,,32,60,40,,,,
110,PERLND,PSTEMP-TEMPS,LGTMP,PSTFG,,,40,60,45,,,,
111,PERLND,PWT-PARM1,IDVFG,PWGFG,,,0,1,0,,,,
112,PERLND,PWT-PARM1,ICVFG,PWGFG,,,0,1,1,,,,
113,PERLND,PWT-PARM1,GDVFG,PWGFG,,,0,1,0,,,,
114,PERLND,PWT-PARM1,GCVFG,PWGFG,,,0,1,1,,,,
115,PERLND,PWT-PARM2,ELEV,PWGFG,,,100,7000,2000,,,,
116,PERLND,PWT-PARM2,IDOXP,PWGFG,,1,5,16,8,PWT-PARM1,IDVFG,MON-IFWDOX,
117,PERLND,PWT-PARM2,ICO2P,PWGFG,,1,0,0.7,0,PWT-PARM1,ICVFG,MON-IFWCO2,
118,PERLND,PWT-PARM2,ADOXP,PWGFG,,1,0.01,14,6,PWT-PARM1,GDVFG,MON-GRNDDOX,
119,PERLND,PWT-PARM2,ACO2P,PWGFG,,1,0,0.75,0,PWT-PARM1,GCVFG,MON-GRNDCO2,
120,PERLND,PWT-TEMPS,SOTMP,PWGFG,,,40,70,60,,,,
121,PERLND,PWT-TEMPS,IOTMP,PWGFG,,,40,65,55,,,,
122,PERLND,PWT-TEMPS,AOTMP,PWGFG,,,40,60,50,,,,
123,PERLND,PWT-GASES,SODOX,PWGFG,,,6,14.5,12,,,,
124,PERLND,PWT-GASES,SOCO2,PWGFG,,,0,0.5,0,,,,
125,PERLND,PWT-GASES,IODOX,PWGFG,,,5,12.7,10,,,,
126,PERLND,PWT-GASES,IOCO2,PWGFG,,,0,0.6,0,,,,
127,PERLND,PWT-GASES,AODOX,PWGFG,,,4.5,10,8,,,,
128,PERLND,PWT-GASES,AOCO2,PWGFG,,,0,0.6,0,,,,
129,PERLND,NQUALS,NQUAL,PWGFG,,,2,9,4,,,,
130,PERLND,PQL-AD-FLAGS,F,PQALFG,,,-1,10,-1,,,,Not sure if this is the best way to handle this table - PQADFG(1)�.
131,PERLND,PQL-AD-FLAGS,C,PQALFG,,,-1,10,-1,,,,Not sure if this is the best way to handle this table - PQADFG(1)�.
132,PERLND,QUAL-PROPS,QSDFG,PQALFG,,,0,1,0,,,,
133,PERLND,QUAL-PROPS,VPFWFG,PQALFG,,,0,2,0,,,,
134,PERLND,QUAL-PROPS,VPFSFG,PQALFG,,,0,1,0,,,,
135,PERLND,QUAL-PROPS,QSOFG,PQALFG,,,0,2,2,,,,
136,PERLND,QUAL-PROPS,VQOFG,PQALFG,,,0,1,1,,,,
137,PERLND,QUAL-PROPS,QIFWFG,PQALFG,,,0,1,1,,,,
138,PERLND,QUAL-PROPS,VIQCFG,PQALFG,,,0,4,3,,,,
139,PERLND,QUAL-PROPS,QAGWFG,PQALFG,,,0,1,1,,,,
140,PERLND,QUAL-PROPS,VAQCFG,PQALFG,,,0,4,3,,,,
141,PERLND,QUAL-INPUT,SQO,PQALFG,NH3+NH4,,0,0.4,0.1,,,,
142,PERLND,QUAL-INPUT,POTFW,PQALFG,NH3+NH4,1,,,,QUAL-PROPS,VPFWFG,MON-POTFW,
143,PERLND,QUAL-INPUT,POTFS,PQALFG,NH3+NH4,1,,,,QUAL-PROPS,VPFSFG,MON-POTFS,
144,PERLND,QUAL-INPUT,ACQOP,PQALFG,NH3+NH4,1,0.0002,0.2,0.001,QUAL-PROPS,VQOFG,MON-ACCUM,
145,PERLND,QUAL-INPUT,SQOLIM,PQALFG,NH3+NH4,1,0.001,0.75,0.01,QUAL-PROPS,VQOFG,MON-SQOLIM,
146,PERLND,QUAL-INPUT,WSQOP,PQALFG,NH3+NH4,,0.2,3.4,0.75,,,,
147,PERLND,QUAL-INPUT,IOQC,PQALFG,NH3+NH4,1,0.0005,3.5,0.1,QUAL-PROPS,VIQCFG,MON-IFLW-CONC,
148,PERLND,QUAL-INPUT,AOQC,PQALFG,NH3+NH4,1,0.0005,2,0.1,QUAL-PROPS,VAQCFG,MON-GRND-CONC,
149,PERLND,QUAL-INPUT,SQO,PQALFG,NO3,,0,5,0.5,,,,
150,PERLND,QUAL-INPUT,POTFW,PQALFG,NO3,1,,,,QUAL-PROPS,VPFWFG,MON-POTFW,
151,PERLND,QUAL-INPUT,POTFS,PQALFG,NO3,1,,,,QUAL-PROPS,VPFSFG,MON-POTFS,
152,PERLND,QUAL-INPUT,ACQOP,PQALFG,NO3,1,0.0002,1.5,0.01,QUAL-PROPS,VQOFG,MON-ACCUM,
153,PERLND,QUAL-INPUT,SQOLIM,PQALFG,NO3,1,0.0002,6,0.1,QUAL-PROPS,VQOFG,MON-SQOLIM,
154,PERLND,QUAL-INPUT,WSQOP,PQALFG,NO3,,0.2,3.4,0.75,,,,
155,PERLND,QUAL-INPUT,IOQC,PQALFG,NO3,1,0.003,30,0.5,QUAL-PROPS,VIQCFG,MON-IFLW-CONC,
156,PERLND,QUAL-INPUT,AOQC,PQALFG,NO3,1,0.003,9.5,0.5,QUAL-PROPS,VAQCFG,MON-GRND-CONC,
157,PERLND,QUAL-INPUT,SQO,PQALFG,ORTHO P,,0,0.38,0,,,,
158,PERLND,QUAL-INPUT,POTFW,PQALFG,ORTHO P,1,0,5,0.5,QUAL-PROPS,VPFWFG,MON-POTFW,
159,PERLND,QUAL-INPUT,POTFS,PQALFG,ORTHO P,1,0,2,0.1,QUAL-PROPS,VPFSFG,MON-POTFS,
160,PERLND,QUAL-INPUT,ACQOP,PQALFG,ORTHO P,1,0.00005,0.01,0,QUAL-PROPS,VQOFG,MON-ACCUM,
161,PERLND,QUAL-INPUT,SQOLIM,PQALFG,ORTHO P,1,0.001,0.02,0,QUAL-PROPS,VQOFG,MON-SQOLIM,
162,PERLND,QUAL-INPUT,WSQOP,PQALFG,ORTHO P,,0,2,0.5,,,,
163,PERLND,QUAL-INPUT,IOQC,PQALFG,ORTHO P,1,0.001,1.5,0.1,QUAL-PROPS,VIQCFG,MON-IFLW-CONC,
164,PERLND,QUAL-INPUT,AOQC,PQALFG,ORTHO P,1,0.0001,1.5,0.01,QUAL-PROPS,VAQCFG,MON-GRND-CONC,
165,PERLND,QUAL-INPUT,SQO,PQALFG,BOD,,0,14,2,,,,
166,PERLND,QUAL-INPUT,POTFW,PQALFG,BOD,1,1,150,3,QUAL-PROPS,VPFWFG,MON-POTFW,
167,PERLND,QUAL-INPUT,POTFS,PQALFG,BOD,1,1,150,3,QUAL-PROPS,VPFSFG,MON-POTFS,
168,PERLND,QUAL-INPUT,ACQOP,PQALFG,BOD,1,0.2,4,0,QUAL-PROPS,VQOFG,MON-ACCUM,
169,PERLND,QUAL-INPUT,SQOLIM,PQALFG,BOD,1,1.5,96,0,QUAL-PROPS,VQOFG,MON-SQOLIM,
170,PERLND,QUAL-INPUT,WSQOP,PQALFG,BOD,,0.2,1.9,0.5,,,,
171,PERLND,QUAL-INPUT,IOQC,PQALFG,BOD,1,1,115,8,QUAL-PROPS,VIQCFG,MON-IFLW-CONC,
172,PERLND,QUAL-INPUT,AOQC,PQALFG,BOD,1,1,65,5,QUAL-PROPS,VAQCFG,MON-GRND-CONC,
173,IMPLND,ACTIVITY,ATMPFG,,,,0,1,1,,,,
174,IMPLND,ACTIVITY,SNOWFG,,,,0,1,1,,,,
175,IMPLND,ACTIVITY,IWATFG,,,,1,1,1,,,,
176,IMPLND,ACTIVITY,SLDFG,,,,0,1,1,,,,
177,IMPLND,ACTIVITY,IWGFG,,,,0,1,1,,,,
178,IMPLND,ACTIVITY,IQALFG,,,,0,1,1,,,,
179,IMPLND,ATEMP-DAT,ELDAT,ATMPFG,,,-1000,1000,0,,,,
180,IMPLND,ATEMP-DAT,AIRTMP,ATMPFG,,,10,70,30,,,,
181,IMPLND,ICE-FLAG,ICEFG,SNOWFG,,,0,1,1,,,,
182,IMPLND,SNOW-FLAGS,SNOPFG,SNOWFG,,,0,1,0,,,,
183,IMPLND,SNOW-FLAGS,VKMFG,SNOWFG,,,0,1,0,,,,
184,IMPLND,SNOW-PARM1,LAT,SNOWFG,,,30,50,45,,,,
185,IMPLND,SNOW-PARM1,MELEV,SNOWFG,,,50,3000,1500,,,,
186,IMPLND,SNOW-PARM1,SHADE,SNOWFG,,,0.1,0.5,0.15,,,,
187,IMPLND,SNOW-PARM1,SNOWCF,SNOWFG,,,1.1,1.5,1.2,,,,
188,IMPLND,SNOW-PARM1,COVIND,SNOWFG,,,0.1,5,1.5,,,,
189,IMPLND,SNOW-PARM1,KMELT,SNOWFG,,1,0.01,0.5,0.1,SNOW-FLAGS,VKMFG,MON-MELT-FAC,
190,IMPLND,SNOW-PARM1,TBASE,SNOWFG,,,30,36,32,,,,
191,IMPLND,SNOW-PARM2,RDCSN,SNOWFG,,,0.05,0.3,0.15,,,,
192,IMPLND,SNOW-PARM2,TSNOW,SNOWFG,,,30,40,32,,,,
193,IMPLND,SNOW-PARM2,SNOEVP,SNOWFG,,,0,0.5,0.15,,,,
194,IMPLND,SNOW-PARM2,CCFACT,SNOWFG,,,0.05,2,0.15,,,,
195,IMPLND,SNOW-PARM2,MWATER,SNOWFG,,,0.005,0.5,0.03,,,,
196,IMPLND,SNOW-PARM2,MGMELT,SNOWFG,,,0,0.03,0.01,,,,
197,IMPLND,SNOW-INIT1,PKSNOW,SNOWFG,,,0,5,0.5,,,,
198,IMPLND,SNOW-INIT1,PKICE,SNOWFG,,,0,2,0,,,,
199,IMPLND,SNOW-INIT1,PKWATR,SNOWFG,,,0,2,0,,,,
200,IMPLND,SNOW-INIT1,RDENPF,SNOWFG,,,0.1,0.6,0.2,,,,
201,IMPLND,SNOW-INIT1,DULL,SNOWFG,,,100,600,375,,,,
202,IMPLND,SNOW-INIT1,PAKTMP,SNOWFG,,,0,30,10,,,,
203,IMPLND,SNOW-INIT2,COVINX,SNOWFG,,,0.01,8,0.01,,,,
204,IMPLND,SNOW-INIT2,XLNMLT,SNOWFG,,,0,2,0,,,,
205,IMPLND,SNOW-INIT2,SKYCLR,SNOWFG,,,0.15,1,1,,,,
206,IMPLND,IWAT-PARM1,CSNOFG,IWATFG,,,0,1,1,,,,
207,IMPLND,IWAT-PARM1,RTOPFG,IWATFG,,,0,1,1,,,,
208,IMPLND,IWAT-PARM1,VRSFG,IWATFG,,,0,1,0,,,,
209,IMPLND,IWAT-PARM1,VNNFG,IWATFG,,,0,1,0,,,,
210,IMPLND,IWAT-PARM1,RTLIFG,IWATFG,,,0,1,0,,,,
211,IMPLND,IWAT-PARM2,LSUR,IWATFG,,,50,250,100,,,,
212,IMPLND,IWAT-PARM2,SLSUR,IWATFG,,,1.00E-04,0.3,0.01,,,,
213,IMPLND,IWAT-PARM2,NSUR,IWATFG,,1,0.01,0.15,0.1,IWAT-PARM1,VRSFG,MON-MANNING,
214,IMPLND,IWAT-PARM2,RETSC,IWATFG,,1,0.01,0.3,0.05,IWAT-PARM1,VNNFG,MON-RETN,
215,IMPLND,IWAT-PARM3,PETMAX,IWATFG,,,32,45,40,,,,
216,IMPLND,IWAT-PARM3,PETMIN,IWATFG,,,30,40,35,,,,
217,IMPLND,IWAT-STATE1,RETS,IWATFG,,,0,0.01,0.001,,,,
218,IMPLND,IWAT-STATE1,SURS,IWATFG,,,0,0.01,0.001,,,,
219,IMPLND,SLD-PARM1,VASDFG,SLDFG,,,0,1,1,,,,
220,IMPLND,SLD-PARM1,VRSDFG,SLDFG,,,0,1,0,,,,
221,IMPLND,SLD-PARM1,SDOPFG,SLDFG,,,0,1,1,,,,
222,IMPLND,SLD-PARM2,KEIM,SLDFG,,,0.01,10,0.1,,,,
223,IMPLND,SLD-PARM2,JEIM,SLDFG,,,1,3,2,,,,
224,IMPLND,SLD-PARM2,ACCSDP,SLDFG,,1,5.00E-05,2,0.001,SLD-PARM1,VASDFG,MON-SACCUM,
225,IMPLND,SLD-PARM2,REMSDP,SLDFG,,1,0,1,0.1,SLD-PARM1,VRSDFG,MON-REMOV,
226,IMPLND,SLD-STOR,SLDS,SLDFG,,,0,0.7,0.05,,,,
227,IMPLND,IWT-PARM1,WTFVFG,IWGFG,,,0,1,1,,,,
228,IMPLND,IWT-PARM1,CSNOFG,IWGFG,,,0,1,1,,,,
229,IMPLND,LAT-FACTOR,SDLFACC,IWGFG,,,0.1,0.9,,,,,
230,IMPLND,LAT-FACTOR,SLIFAC,IWGFG,,,0.1,0.9,,,,,
231,IMPLND,IWT-PARM2,ELEV,IWGFG,,,100,7000,2000,,,,
232,IMPLND,IWT-PARM2,AWTF,IWGFG,,1,28,70,50,IWT-PARM1,WTFVFG,MON-AWTF,
233,IMPLND,IWT-PARM2,BWTF,IWGFG,,1,0.32,1.2,0.65,IWT-PARM1,WTFVFG,MON-BWTF,
234,IMPLND,IWT-INIT,SOTMP,IWGFG,,,35,75,60,,,,
235,IMPLND,IWT-INIT,SODOX,IWGFG,,,0,16,0,,,,
236,IMPLND,IWT-INIT,SOCO2,IWGFG,,,0,1,0,,,,
237,IMPLND,NQUALS,NQUAL,IQALFG,,,2,9,4,,,,
238,IMPLND,IQL-AD-FLAGS,F,IQALFG,,,-1,10,-1,,,,Not sure if this is the best way to handle this table - PQADFG(1)�.
239,IMPLND,IQL-AD-FLAGS,C,IQALFG,,,-1,10,-1,,,,Not sure if this is the best way to handle this table - PQADFG(1)�.
240,IMPLND,QUAL-PROPS,QSDFG,IQALFG,,,0,1,0,,,,
241,IMPLND,QUAL-PROPS,VPFWFG,IQALFG,,,0,1,0,,,,
242,IMPLND,QUAL-PROPS,QSOFG,IQALFG,,,0,2,2,,,,
243,IMPLND,QUAL-PROPS,VQOFG,IQALFG,,,0,1,0,,,,
244,IMPLND,QUAL-INPUT,SQO,IQALFG,NH4,,0.003,0.0297,0.02,,,,
245,IMPLND,QUAL-INPUT,POTFW,IQALFG,NH4,1,,,,QUAL-PROPS,VPFWFG,MON-POTFW,
