PARMID,OPNTYPE,TABLE,ParameterName,ACTIVITYFLAG,ConstituentName,IsMonthlyPossible,Min,Max,Typical,FlagTable,FlagParm,MonthlyParmTable,Notes
246,IMPLND,QUAL-INPUT,ACQOP,IQALFG,NH4,1,8.00E-04,0.04,0.01,QUAL-PROPS,VQOFG,MON-ACCUM,
247,IMPLND,QUAL-INPUT,SQOLIM,IQALFG,NH4,1,0.0051,0.121,0.1,QUAL-PROPS,VQOFG,MON-SQOLIM,
248,IMPLND,QUAL-INPUT,WSQOP,IQALFG,NH4,,0.5,0.75,0.75,,,,
249,IMPLND,QUAL-INPUT,SQO,IQALFG,NO3,,0.005,0.4,0.4,,,,
250,IMPLND,QUAL-INPUT,POTFW,IQALFG,NO3,1,,,,QUAL-PROPS,VPFWFG,MON-POTFW,
251,IMPLND,QUAL-INPUT,ACQOP,IQALFG,NO3,1,1.00E-03,0.121,0.03,QUAL-PROPS,VQOFG,MON-ACCUM,
252,IMPLND,QUAL-INPUT,SQOLIM,IQALFG,NO3,1,0.012,0.362,0.3,QUAL-PROPS,VQOFG,MON-SQOLIM,
253,IMPLND,QUAL-INPUT,WSQOP,IQALFG,NO3,,0.5,0.75,0.75,,,,
254,IMPLND,QUAL-INPUT,SQO,IQALFG,ORTHO P,,0.001,0.05,0.05,,,,
255,IMPLND,QUAL-INPUT,POTFW,IQALFG,ORTHO P,1,0.05,0.65,0.1,QUAL-PROPS,VPFWFG,MON-POTFW,
256,IMPLND,QUAL-INPUT,ACQOP,IQALFG,ORTHO P,1,1.00E-03,0.01,0.01,QUAL-PROPS,VQOFG,MON-ACCUM,
257,IMPLND,QUAL-INPUT,SQOLIM,IQALFG,ORTHO P,1,0.008,0.12,0.1,QUAL-PROPS,VQOFG,MON-SQOLIM,
258,IMPLND,QUAL-INPUT,WSQOP,IQALFG,ORTHO P,,0.5,0.8,0.75,,,,
259,IMPLND,QUAL-INPUT,SQO,IQALFG,BOD,,0.5,1,0.8,,,,
260,IMPLND,QUAL-INPUT,POTFW,IQALFG,BOD,1,,,,QUAL-PROPS,VPFWFG,MON-POTFW,
261,IMPLND,QUAL-INPUT,ACQOP,IQALFG,BOD,1,7.00E-02,0.196,0.19,QUAL-PROPS,VQOFG,MON-ACCUM,
262,IMPLND,QUAL-INPUT,SQOLIM,IQALFG,BOD,1,0.5,2.45,1.9,QUAL-PROPS,VQOFG,MON-SQOLIM,
263,IMPLND,QUAL-INPUT,WSQOP,IQALFG,BOD,,0.5,0.75,0.5,,,,
264,RCHRES,ACTIVITY,HYDRFG,,,,0,1,1,,,,
265,RCHRES,ACTIVITY,ADFG,,,,0,2,2,,,,
266,RCHRES,ACTIVITY,CONSFG,,,,0,1,0,,,,
267,RCHRES,ACTIVITY,HTFG,,,,0,1,1,,,,
268,RCHRES,ACTIVITY,SEDFG,,,,0,1,1,,,,
269,RCHRES,ACTIVITY,GQALFG,,,,0,1,0,,,,
270,RCHRES,ACTIVITY,OXFG,,,,0,1,1,,,,
271,RCHRES,ACTIVITY,NUTFG,,,,0,1,1,,,,
272,RCHRES,ACTIVITY,PLKFG,,,,0,1,1,,,,
273,RCHRES,ACTIVITY,PHFG,,,,0,1,0,,,,
274,RCHRES,HYDR-PARM1,VCONFG,HYDRFG,,,0,1,0,,,,
275,RCHRES,HYDR-PARM1,AUX1FG,HYDRFG,,,0,2,1,,,,
276,RCHRES,HYDR-PARM1,AUX2FG,HYDRFG,,,0,1,1,,,,
277,RCHRES,HYDR-PARM1,AUX3FG,HYDRFG,,,0,1,1,,,,
278,RCHRES,HYDR-PARM1,ODFVFG,HYDRFG,,,-5,8,4,,,,
279,RCHRES,HYDR-PARM1,ODGTFG,HYDRFG,,,0,5,0,,,,
280,RCHRES,HYDR-PARM1,FUNCT,HYDRFG,,,1,3,1,,,,
281,RCHRES,HYDR-PARM2,FTABNO,HYDRFG,,,1,999,50,,,,
282,RCHRES,HYDR-PARM2,LEN,HYDRFG,,,0.01,15,2,,,,
283,RCHRES,HYDR-PARM2,DELTH,HYDRFG,,,0.1,100,5,,,,
284,RCHRES,HYDR-PARM2,STCOR,HYDRFG,,,0,,0,,,,
285,RCHRES,HYDR-PARM2,KS,HYDRFG,,,0,0.5,0.5,,,,
286,RCHRES,HYDR-PARM2,DB50,HYDRFG,,,0.01,0.02,0.01,,,,
287,RCHRES,HYDR-INIT,VOL,HYDRFG,,,0.001,,0.1,,,,
288,RCHRES,HYDR-INIT,CAT,HYDRFG,,,,,0,,,,
289,RCHRES,HYDR-INIT,COLIND,HYDRFG,,,4,8,4,,,,
290,RCHRES,HYDR-INIT,OUTDGT,HYDRFG,,,0,,0,,,,
291,RCHRES,ADCALC-DATA,CRRAT,,,,1.5,2,1.5,,,,
292,RCHRES,ADCALC-DATA,VOL,,,,0,,0,,,,
293,RCHRES,HT-BED-FLAGS,BEDFLG,HTFG,,,0,2,1,,,,
294,RCHRES,HT-BED-FLAGS,TGFLG,HTFG,,,1,3,3,,,,
295,RCHRES,HT-BED-FLAGS,TSTOP,HTFG,,,1,55,55,,,,
296,RCHRES,HEAT-PARM,ELEV,HTFG,,,60,7000,2000,,,,
297,RCHRES,HEAT-PARM,ELDAT,HTFG,,,-368,250,0,,,,
298,RCHRES,HEAT-PARM,CFSAEX,HTFG,,,0.2,0.99,0.7,,,,
299,RCHRES,HEAT-PARM,KATRAD,HTFG,,,9,13.4,9.4,,,,
300,RCHRES,HEAT-PARM,KCOND,HTFG,,,6,15,6.12,,,,
301,RCHRES,HEAT-PARM,KEVAP,HTFG,,,1,2.5,2.24,,,,
302,RCHRES,HT-BED-PARM,MUDDEP,HTFG,,,0.1,2,0.3,,,,
303,RCHRES,HT-BED-PARM,TGRND,HTFG,,1,20,59,59,HT-BED-FLAGS,TGFLG,MON-HT-TGRND,"Flag must be ""3"""
304,RCHRES,HT-BED-PARM,KMUD,HTFG,,,30,100,50,,,,
305,RCHRES,HT-BED-PARM,KGRND,HTFG,,,1.4,1.42,1.4,,,,
306,RCHRES,HEAT-INIT,TW,HTFG,,,32,70,40,,,,
307,RCHRES,HEAT-INIT,AIRTMP,HTFG,,,0,80,40,,,,
308,RCHRES,SANDFG,SANDFG,SEDFG,,,1,3,3,,,,
309,RCHRES,SED-GENPARM,BEDWID,SEDFG,,,5,1000,50,,,,
310,RCHRES,SED-GENPARM,BEDWRN,SEDFG,,,0.5,20,10,,,,
311,RCHRES,SED-GENPARM,POR,SEDFG,,,0.25,0.9,0.4,,,,
312,RCHRES,SAND-PM,D,SEDFG,,,0.0005,0.2,0.005,,,,
313,RCHRES,SAND-PM,W,SEDFG,,,0.02,10,0.1,,,,
314,RCHRES,SAND-PM,RHO,SEDFG,,,1.5,3,2.6,,,,
315,RCHRES,SAND-PM,KSAND,SEDFG,,,0.001,10,0.1,,,,
316,RCHRES,SAND-PM,EXPSND,SEDFG,,,1,6,2,,,,
317,RCHRES,SILT-CLAY-PM,D,SEDFG,,,0.000005,0.004,0.0005,,,,
318,RCHRES,SILT-CLAY-PM,W,SEDFG,,,0.00001,0.1,0.0002,,,,
319,RCHRES,SILT-CLAY-PM,RHO,SEDFG,,,1.5,3,2.3,,,,
320,RCHRES,SILT-CLAY-PM,TAUCD,SEDFG,,,0.001,1,0.01,,,,
321,RCHRES,SILT-CLAY-PM,TAUCS,SEDFG,,,0.001,3,0.1,,,,
322,RCHRES,SILT-CLAY-PM,M,SEDFG,,,0.001,5,0.05,,,,
323,RCHRES,SSED-INIT,SSED,SEDFG,,,0,500,10,,,,
324,RCHRES,BED-INIT,BEDDEP,SEDFG,,,0,15,5,,,,
325,RCHRES,BED-INIT,BSED,SEDFG,,,0.1,0.9,0.3,,,,
326,RCHRES,BENTH-FLAG,BENRFG,PLKFG,,,0,1,1,,,,
327,RCHRES,SCOUR-PARMS,SCRVEL,PLKFG,,,3,10,10,,,,
328,RCHRES,SCOUR-PARMS,SCRMUL,PLKFG,,,2,650,2,,,,
329,RCHRES,OX-FLAGS,REAMFG,OXFG,,,1,3,3,,,,
330,RCHRES,OX-GENPARM,KBOD20,OXFG,,,0.0035,0.05,0.004,,,,
331,RCHRES,OX-GENPARM,TCBOD,OXFG,,,1.047,1.075,1.047,,,,
332,RCHRES,OX-GENPARM,KODSET,OXFG,,,0.005,0.127,0.02,,,,
333,RCHRES,OX-GENPARM,SUPSAT,OXFG,,,1.115,2,1.4,,,,
334,RCHRES,OX-BENPARM,BENOD,OXFG,,,1,100,50,,,,
335,RCHRES,OX-BENPARM,TCBEN,OXFG,,,1.047,1.074,1.074,,,,
336,RCHRES,OX-BENPARM,EXPOD,OXFG,,,1.22,1.22,1.22,,,,
337,RCHRES,OX-BENPARM,BRBOD1,OXFG,,,0.001,10,1,,,,
338,RCHRES,OX-BENPARM,BRBOD2,OXFG,,,0.001,400,10,,,,
339,RCHRES,OX-BENPARM,EXPREL,OXFG,,,1,2.82,2.82,,,,
340,RCHRES,OX-CFOREA,CFOREA,OXFG,,,1,3,1,,,,
341,RCHRES,OX-TSIVOGLOU,REAKT,OXFG,,,0.0258,0.06,0.0258,,,,
342,RCHRES,OX-TSIVOGLOU,TCGINV,OXFG,,,1.047,1.07,1.047,,,,
343,RCHRES,OX-REAPARM,TCGINV,OXFG,,,1.024,1.07,1.024,,,,
344,RCHRES,OX-REAPARM,REAK,OXFG,,,0.03,0.8,0.1,,,,
345,RCHRES,OX-REAPARM,EXPRED,OXFG,,,-1.673,-1.5,-1.673,,,,
346,RCHRES,OX-REAPARM,EXPREV,OXFG,,,0.5,0.969,0.969,,,,
347,RCHRES,OX-INIT,DOX,OXFG,,,2,16,8,,,,
348,RCHRES,OX-INIT,BOD,OXFG,,,0,20,3,,,,
349,RCHRES,OX-INIT,SATDO,OXFG,,,2,16,10,,,,
350,RCHRES,NUT-FLAGS,TAMFG,NUTFG,,,0,1,1,,,,
351,RCHRES,NUT-FLAGS,NO2FG,NUTFG,,,0,1,1,,,,
352,RCHRES,NUT-FLAGS,PO4FG,NUTFG,,,0,1,1,,,,
353,RCHRES,NUT-FLAGS,AMVFG,NUTFG,,,0,1,0,,,,
354,RCHRES,NUT-FLAGS,DENFG,NUTFG,,,0,1,1,,,,
355,RCHRES,NUT-FLAGS,ADNHFG,NUTFG,,,0,1,1,,,,
356,RCHRES,NUT-FLAGS,ADPOFG,NUTFG,,,0,1,1,,,,
357,RCHRES,NUT-FLAGS,PHFLAG,NUTFG,,,0,3,2,,,,
358,RCHRES,NUT-AD-FLAGS,F,NUTFG,,,-1,10,-1,,,,Not sure if this is the best way to handle this table - PQADFG(1)�.
359,RCHRES,NUT-AD-FLAGS,C,NUTFG,,,-1,10,-1,,,,Not sure if this is the best way to handle this table - PQADFG(1)�.
360,RCHRES,CONV-VAL1,CVBO,PLKFG,,,1.63,1.98,1.63,,,,
361,RCHRES,CONV-VAL1,CVBPC,PLKFG,,,106,106,106,,,,
362,RCHRES,CONV-VAL1,CVBPN,PLKFG,,,16,16,106,,,,
363,RCHRES,CONV-VAL1,BPCNTC,PLKFG,,,49,49,49,,,,
364,RCHRES,NUT-BENPARM,BRNIT1,PLKFG,,,0,1,0,,,,
365,RCHRES,NUT-BENPARM,BRNIT2,PLKFG,,,0,1,0,,,,
366,RCHRES,NUT-BENPARM,BRPO41,PLKFG,,,0,1,0,,,,
367,RCHRES,NUT-BENPARM,BRPO42,PLKFG,,,0,1,0,,,,
368,RCHRES,NUT-BENPARM,ANAER,PLKFG,,,0.001,1,0.005,,,,
369,RCHRES,NUT-NITDENIT,KTAM20,NUTFG,,,0.002,0.3,0.03,,,,
370,RCHRES,NUT-NITDENIT,KNO220,NUTFG,,,0.002,0.012,0.012,,,,
371,RCHRES,NUT-NITDENIT,TCNIT,NUTFG,,,1.07,1.07,1.07,,,,
372,RCHRES,NUT-NITDENIT,KNO320,NUTFG,,,0.0014,0.02,0.005,,,,
373,RCHRES,NUT-NITDENIT,TCDEN,NUTFG,,,1.04,1.07,1.04,,,,
374,RCHRES,NUT-NITDENIT,DENOXT,NUTFG,,,1,20,4,,,,
375,RCHRES,NUT-NH3VOLAT,EXPNVG,NUTFG,,,0.5,0.5,0.5,,,,
376,RCHRES,NUT-NH3VOLAT,EXPNVL,NUTFG,,,0.667,0.667,0.667,,,,
377,RCHRES,NUT-BEDCONC,BNH4(1),NUTFG,,,0.001,40,,,,,"The ""()"" may be a problem in HTML"
378,RCHRES,NUT-BEDCONC,BNH4(2),NUTFG,,,0.002,100,,,,,"The ""()"" may be a problem in HTML"
379,RCHRES,NUT-BEDCONC,BNH4(3),NUTFG,,,0.003,100,,,,,"The ""()"" may be a problem in HTML"
380,RCHRES,NUT-BEDCONC,BPO4(1),NUTFG,,,0.00005,600,,,,,"The ""()"" may be a problem in HTML"
381,RCHRES,NUT-BEDCONC,BNH4(2),NUTFG,,,0.0002,100,,,,,"The ""()"" may be a problem in HTML"
382,RCHRES,NUT-BEDCONC,BNH4(2),NUTFG,,,0.0002,100,,,,,"The ""()"" may be a problem in HTML"
383,RCHRES,NUT-ADSPARM,ADNHPM(1),NUTFG,,,0.0001,40,,,,,"The ""()"" may be a problem in HTML"
384,RCHRES,NUT-ADSPARM,ADNHPM(2),NUTFG,,,0.0001,100,,,,,"The ""()"" may be a problem in HTML"
385,RCHRES,NUT-ADSPARM,ADNHPM(3),NUTFG,,,0.0001,100,,,,,"The ""()"" may be a problem in HTML"
386,RCHRES,NUT-ADSPARM,ADPOPM(1),NUTFG,,,6,600,,,,,"The ""()"" may be a problem in HTML"
387,RCHRES,NUT-ADSPARM,ADPOPM(2),NUTFG,,,10,1000,,,,,"The ""()"" may be a problem in HTML"
388,RCHRES,NUT-ADSPARM,ADPOPM(3),NUTFG,,,10,1000,,,,,"The ""()"" may be a problem in HTML"
389,RCHRES,NUT-DINT,NO3,NUTFG,,,0,14,0.1,,,,
390,RCHRES,NUT-DINT,TAM,NUTFG,,,0,5,0.1,,,,
391,RCHRES,NUT-DINT,NO2,NUTFG,,,0,1,0,,,,
392,RCHRES,NUT-DINT,PO4,NUTFG,,,0,2,0.01,,,,
393,RCHRES,NUT-DINT,PHVAL,NUTFG,,,2,10,7,,,,
394,RCHRES,NUT-ADSINT,SNH4(1),NUTFG,,,0,,0,,,,"The ""()"" may be a problem in HTML"
395,RCHRES,NUT-ADSINT,SNH4(2),NUTFG,,,0,,0,,,,"The ""()"" may be a problem in HTML"
396,RCHRES,NUT-ADSINT,SNH4(3),NUTFG,,,0,,0,,,,"The ""()"" may be a problem in HTML"
397,RCHRES,NUT-ADSINT,SPO4(1),NUTFG,,,0,,0,,,,"The ""()"" may be a problem in HTML"
398,RCHRES,NUT-ADSINT,SPO4(2),NUTFG,,,0,,0,,,,"The ""()"" may be a problem in HTML"
399,RCHRES,NUT-ADSINT,SPO4(3),NUTFG,,,0,,0,,,,"The ""()"" may be a problem in HTML"
400,RCHRES,PLNK-FLAGS,PHYFG,PLKFG,,,0,1,1,,,,
401,RCHRES,PLNK-FLAGS,ZOOFG,PLKFG,,,0,1,0,,,,
402,RCHRES,PLNK-FLAGS,BALFG,PLKFG,,,0,2,1,,,,
403,RCHRES,PLNK-FLAGS,SDLTFG,PLKFG,,,0,2,1,,,,
404,RCHRES,PLNK-FLAGS,AMRFG,PLKFG,,,0,1,0,,,,
405,RCHRES,PLNK-FLAGS,DECFG,PLKFG,,,0,1,1,,,,
406,RCHRES,PLNK-FLAGS,NSFG,PLKFG,,,0,1,1,,,,
407,RCHRES,PLNK-FLAGS,ZFOOD,PLKFG,,,1,3,2,,,,
408,RCHRES,PLNK-FLAGS,BNPFG,PLKFG,,,0,1,0,,,,
409,RCHRES,BENAL-FLAGS,NUMBAL,PLKFG,,,,,,,,,
410,RCHRES,BENAL-FLAGS,BINVFG,PLKFG,,,,,,,,,
411,RCHRES,BENAL-FLAGS,BFIXFG,PLKFG,,,,,,,,,
412,RCHRES,SURF-EXPOSED,CFSAEX,PLKFG,,,0.1,0.9,0.5,,,,
413,RCHRES,PLNK-PARM1,RATCLP,PLKFG,,,0.6,0.68,0.68,,,,
414,RCHRES,PLNK-PARM1,NONREF,PLKFG,,,0.5,0.75,0.5,,,,
415,RCHRES,PLNK-PARM1,LITSED,PLKFG,,,0.0001,0.1,0.0015,,,,
416,RCHRES,PLNK-PARM1,ALNPR,PLKFG,,,0.25,0.8,0.25,,,,
417,RCHRES,PLNK-PARM1,EXTB,PLKFG,,,0.01,0.4,0.02,,,,
418,RCHRES,PLNK-PARM1,MALGR,PLKFG,,,0.03,0.17,0.075,,,,
419,RCHRES,PLNK-PARM1,PARADF,PLKFG,,,1,1,1,,,,
420,RCHRES,PLNK-PARM2,CMMLT,PLKFG,,,0.000001,0.033,0.03,,,,
421,RCHRES,PLNK-PARM2,CMMN,PLKFG,,,0.025,0.045,0.045,,,,
422,RCHRES,PLNK-PARM2,CMMNP,PLKFG,,,0.0001,0.028,0.0001,,,,
423,RCHRES,PLNK-PARM2,CMMP,PLKFG,,,0.005,0.015,0.015,,,,
424,RCHRES,PLNK-PARM2,TALGRH,PLKFG,,,95,150,95,,,,
425,RCHRES,PLNK-PARM2,TALGRL,PLKFG,,,-10,43,10,,,,
426,RCHRES,PLNK-PARM2,TALGRM,PLKFG,,,68,86,77,,,,
427,RCHRES,PLNK-PARM3,ALR20,PLKFG,,,0.003,0.005,0.005,,,,
428,RCHRES,PLNK-PARM3,ALDH,PLKFG,,,0.001,0.02,0.02,,,,
429,RCHRES,PLNK-PARM3,ALDL,PLKFG,,,0.001,0.002,0.001,,,,
430,RCHRES,PLNK-PARM3,OXALD,PLKFG,,,0.01,0.03,0.03,,,,
431,RCHRES,PLNK-PARM3,NALDH,PLKFG,,,0.001,0.015,0.01,,,,
432,RCHRES,PLNK-PARM3,PALDH,PLKFG,,,0.0001,0.002,0.002,,,,
433,RCHRES,PLNK-PARM4,NMINGR,PLKFG,,,0.000001,0.000001,0.000001,,,,
434,RCHRES,PLNK-PARM4,PMINGR,PLKFG,,,0.001,0.001,0.001,,,,
435,RCHRES,PLNK-PARM4,CMINGR,PLKFG,,,0.000001,0.000001,0.000001,,,,
436,RCHRES,PLNK-PARM4,LMINGR,PLKFG,,,0.001,0.001,0.001,,,,
437,RCHRES,PLNK-PARM4,NMINC,PLKFG,,,0.000001,0.000001,0.000001,,,,
438,RCHRES,PHYTO-PARM,SEED,PLKFG,,,0.2,6,2,,,,
439,RCHRES,PHYTO-PARM,MXSTAY,PLKFG,,,0.2,24,8,,,,
440,RCHRES,PHYTO-PARM,OREF,PLKFG,,,0.0001,1000,70,,,,
441,RCHRES,PHYTO-PARM,CLALDH,PLKFG,,,5,200,50,,,,
442,RCHRES,PHYTO-PARM,PHYSET,PLKFG,,,0.001,0.04,0.005,,,,
443,RCHRES,PHYTO-PARM,REFSET,PLKFG,,,0.001,0.12,0.01,,,,
444,RCHRES,BENAL-PARM,MBAL,PLKFG,,,50,10000,1000,,,,
445,RCHRES,BENAL-PARM,CFBALR,PLKFG,,,0.35,0.55,0.45,,,,
446,RCHRES,BENAL-PARM,CFBALG,PLKFG,,,0.33,1,0.6,,,,
447,RCHRES,BENAL-PARM,MINBAL,PLKFG,,,0.0001,0.001,0.001,,,,
448,RCHRES,BENAL-PARM,CAMPR,PLKFG,,,0.001,0.001,0.001,,,,
449,RCHRES,BENAL-PARM,FRAVL,PLKFG,,,0,0.8,0,,,,
450,RCHRES,BENAL-PARM,NMAXFX,PLKFG,,,10,20,10,,,,
451,RCHRES,ZOO-PARM1,MZOEAT,PLKFG,,,0.055,0.055,0.055,,,,
452,RCHRES,ZOO-PARM1,ZFIL20,PLKFG,,,0.01,0.2,,,,,
453,RCHRES,ZOO-PARM1,ZRES20,PLKFG,,,0.00015,0.00015,0.00015,,,,
454,RCHRES,ZOO-PARM1,ZD,PLKFG,,,0.0001,0.0001,0.0001,,,,
455,RCHRES,ZOO-PARM1,OXZD,PLKFG,,,0.03,0.3,0.3,,,,
456,RCHRES,ZOO-PARM2,TCZFIL,PLKFG,,,,,,,,,
457,RCHRES,ZOO-PARM2,TCZRES,PLKFG,,,1.07,1.07,1.07,,,,
458,RCHRES,ZOO-PARM2,ZEXDEL,PLKFG,,,0.7,0.7,0.7,,,,
459,RCHRES,ZOO-PARM2,ZOMASS,PLKFG,,,0.0003,0.0003,0.0003,,,,
460,RCHRES,BENAL-GROW,MBALGR,PLKFG,,,0.15,0.97,0.3,,,,
461,RCHRES,BENAL-GROW,TCBALG,PLKFG,,,1.03,1.09,1.07,,,,
462,RCHRES,BENAL-GROW,CMMNB,PLKFG,,,0.005,0.045,0.045,,,,
463,RCHRES,BENAL-GROW,CMMPB,PLKFG,,,0.0025,0.015,0.015,,,,
464,RCHRES,BENAL-GROW,CMMD1,PLKFG,,,0.1,0.1,0.1,,,,
465,RCHRES,BENAL-GROW,CMMD2,PLKFG,,,100,10000,100,,,,
466,RCHRES,BENAL-GROW,CSLIT,PLKFG,,,0.093,250,250,,,,
467,RCHRES,BENAL-RESSCR,BALR20,PLKFG,,,0.004,0.0052,0.004,,,,
468,RCHRES,BENAL-RESSCR,TCBALR,PLKFG,,,1.07,1.08,1.07,,,,
469,RCHRES,BENAL-RESSCR,CSLOF1,PLKFG,,,0.00003,0.1,0.1,,,,
470,RCHRES,BENAL-RESSCR,CSLOF2,PLKFG,,,0.6,1,1,,,,
471,RCHRES,BENAL-RESSCR,GRORES,PLKFG,,,0.075,0.075,0.075,,,,
472,RCHRES,BENAL-GRAZE,CREMVL,PLKFG,,,0.05,34.7,0.05,,,,
473,RCHRES,BENAL-GRAZE,CMMBI,PLKFG,,,0.05,10000,0.05,,,,
474,RCHRES,BENAL-GRAZE,BINV,PLKFG,,,0,4140,0,,,,
475,RCHRES,BENAL-GRAZE,TCGRAZ,PLKFG,,,1,1.06,1,,,,
476,RCHRES,BENAL-LIGHT,CTRBQ1,PLKFG,,,0.032,0.086,0.05,,,,
477,RCHRES,BENAL-LIGHT,CTRBQ2,PLKFG,,,0.5,0.74,0.5,,,,
478,RCHRES,BENAL-LIGHT,CKTRB1,PLKFG,,,0.23,0.23,0.23,,,,
479,RCHRES,BENAL-LIGHT,CKTRB2,PLKFG,,,0.486,0.486,0.486,,,,
480,RCHRES,BENAL-RIFF1,FRRIF,PLKFG,,,0,1,0.5,,,,
481,RCHRES,BENAL-RIFF1,CMMV,PLKFG,,,0.0001,0.001,0.001,,,,
482,RCHRES,BENAL-RIFF1,RIFCQ(1-3),PLKFG,,,105.9,317.8,200,,,,"The ""()"" may be a problem in HTML"
483,RCHRES,BENAL-RIFF2,RIFVEL(1-4),PLKFG,,,1,1.8,1.5,,,,"The ""()"" may be a problem in HTML"
484,RCHRES,BENAL-RIFF2,RIFDEP(1-4),PLKFG,,,0.55,0.85,0.75,,,,"The ""()"" may be a problem in HTML"
485,RCHRES,PLNK-INIT,PHYTO,PLKFG,,,0.000001,2,0.5,,,,
486,RCHRES,PLNK-INIT,ZOO,PLKFG,,,0.01,0.05,0.03,,,,
487,RCHRES,PLNK-INIT,BENAL,PLKFG,,,1,10000,500,,,,
488,RCHRES,PLNK-INIT,ORN,PLKFG,,,0.0001,5,0.5,,,,
489,RCHRES,PLNK-INIT,ORP,PLKFG,,,0.0001,2,0.01,,,,
490,RCHRES,PLNK-INIT,ORC,PLKFG,,,0.0001,10,0.5,,,,
491,RCHRES,BENAL-INIT,BENAL,PLKFG,,,0,10000,500,,,,
